Date_NodeID	1_0
20230220	0.5
20230221	0.5
20230222	0.5
20230223	0.5
20230224	0.5
20230225	0.5
20230226	0.5
20230227	0.5
20230228	0.5
20230301	0.5
20230302	0.5
20230303	0.5
20230304	0.5
20230305	0.5
20230306	0.5
20230307	0.5
20230308	0.5
20230309	0.5
20230310	0.5
20230311	0.5
20230312	0.5
20230313	0.5
20230314	0.5
20230315	0.5
20230316	0.5
20230317	0.5
20230318	0.5
20230319	0.5
20230320	0.5
20230321	0.5
20230322	0.5
20230323	0.5
20230324	0.5
20230325	0.5
20230326	0.5
20230327	0.5
20230328	0.5
20230329	0.5
20230330	0.5
20230331	0.5
20230401	0.5
20230402	0.5
20230403	0.5
20230404	0.5
20230405	0.5
20230406	0.5
20230407	0.5
20230408	0.5
20230409	0.5
20230410	0.5
20230411	0.5
20230412	0.5
20230413	0.5
20230414	0.5
20230415	0.5
20230416	0.5
20230417	0.5
20230418	0.5
20230419	0.5
20230420	0.5
20230421	0.5
20230422	0.5
20230423	0.5
20230424	0.5
20230425	0.5
20230426	0.5
20230427	0.5
20230428	0.5
20230429	0.5
20230430	0.5
20230501	0.5
20230502	0.5
20230503	0.5
20230504	0.5
20230505	0.5
20230506	0.5
20230507	0.5
20230508	0.5
20230509	0.5
20230510	0.5
20230511	0.5
20230512	0.5
20230513	0.5
20230514	0.5
20230515	0.5
20230516	0.5
20230517	0.5
20230518	0.5
20230519	0.5
20230520	0.5
20230521	0.5
20230522	0.5
20230523	0.5
20230524	0.5
20230525	0.5
20230526	0.5
20230527	0.5
20230528	0.5
20230529	0.5
20230530	0.5
20230531	0.5
20230601	0.5
20230602	0.5
20230603	0.5
20230604	0.5
20230605	0.5
20230606	0.5
20230607	0.5
20230608	0.5
20230609	0.5
20230610	0.5
20230611	0.5
20230612	0.5
20230613	0.5
20230614	0.5
20230615	0.5
20230616	0.5
20230617	0.5
20230618	0.5
20230619	0.5
20230620	0.5
20230621	0.5
20230622	0.5
20230623	0.5
20230624	0.5
20230625	0.5
20230626	0.5
20230627	0.5
20230628	0.5
20230629	0.5
20230630	0.5
20230701	0.5
20230702	0.5
20230703	0.5
20230704	0.5
20230705	0.5
20230706	0.5
20230707	0.5
20230708	0.5
20230709	0.5
20230710	0.5
20230711	0.5
20230712	0.5
20230713	0.5
20230714	0.5
20230715	0.5
20230716	0.5
20230717	0.5
20230718	0.5
20230719	0.5
20230720	0.5
20230721	0.5
20230722	0.5
20230723	0.5
20230724	0.5
20230725	0.5
20230726	0.5
20230727	0.5
20230728	0.5
20230729	0.5
20230730	0.5
20230731	0.5
20230801	0.5
20230802	0.5
20230803	0.5
20230804	0.5
20230805	0.5
20230806	0.5
20230807	0.5
20230808	0.5
20230809	0.5
20230810	0.5
20230811	0.5
20230812	0.5
20230813	0.5
20230814	0.5
20230815	0.5
20230816	0.5
20230817	0.5
20230818	0.5
20230819	0.5
20230820	0.5
20230821	0.5
20230822	0.5
20230823	0.5
20230824	0.5
20230825	0.5
20230826	0.5
20230827	0.5
20230828	0.5
20230829	0.5
20230830	0.5
20230831	0.5
